restaurant_name,rating_review,sentiment,review_full,date
Sushi_Yakuza,4,Positive,"The menu of Yakuza is a bit of a lottery, some plates are really good (like most of the sushi rolls) and instead some others are terrible ( the pizza sushi and most of the fried starters). Taking this in consideration, it´s a great option if you feel like sushi and can avoid ordering from the rest of the menu. We even ordered for delivery more than once and the packaging they use is great.",10-Dec-19
Azotea_Forus_Barcelo,1,Negative,Check your bill when you cancel just in case you get an extra charge surprise on it   There are no more words to describe my experience when I was there. Sad and poor experience!! Never return! Never again,23-Aug-20
Level_Veggie_Bistro,5,Positive,"I had the yuca profiteroles and the veggie burger, by recommendation of the server. It was absolutely delicious and the service was outstanding. I will definitely be back again with friends !",6-Mar-20
Sto_Globo_Sushi_Room,5,Positive,"A friend recommended this place as one of the best sushi he’d ever tried so we booked a table and we agree! Everything we tried was delicious. From the sautéed edamame with truffle oil to the flambeéd salmon niguiri. The tuna tartare was one of the best we’ve ever had, so much so that we still talk about it 6 months after visiting. The place itself is very small but they have made good use of the space and made it very comfortable and stylish. ",29-Sep-20
Azotea_Forus_Barcelo,5,Positive,Amazing terrace in madrid - great atmosphere and great wine 🍷 Thanks to our bartender Ariel for such a good experience.,27-Jul-20
Azotea_Forus_Barcelo,5,Positive,"Adriana is very nice , friendly  She is Colombian  The price is superb like 13 euros for drink soup fish and chocolate cake  The place is fresh  The azotea group has like 4 places in Madrid nubel lovely in the museum reina Sofía . Picalagartos the best Madrid view , the bellas artes terrace lovely but not as good as picalagartos.  Azotea forus is the less impressive  But Adriana is corteous that help a lot  Go imagine Adriana in other location  The chocolate cake was perfect ",6-Jul-20
Azotea_Forus_Barcelo,5,Positive,"I had a great dinner here with a large group. It has great views of Madrid, and reasonably priced drinks for a rooftop bar.",3-Mar-20
Azotea_Forus_Barcelo,5,Positive,"Had a great time here, and the service was fabulous. Ariel looked after us extremely well and would definitely recommend.",29-Feb-20
Azotea_Forus_Barcelo,5,Positive,"We really enjoyed our trip to Azotea Forus Barcelo for drinks outside on the terrace. Great heaters and lovely Verdejo, attentive service in particular from Ariel who was un encanto!",29-Feb-20
Azotea_Forus_Barcelo,5,Positive,Great views and service. Ariel was great help keeping us all warm with the heater as the weather a little cold.,29-Feb-20
Level_Veggie_Bistro,5,Positive,"My family and I (myself, my wife, two adult children) were visiting Madrid for a short break. We are all vegetarians so we had done some research and had a list of places to try. By the end of 5 days we had eaten in 9 vegan/vegetarian restaurants (there is so much choice in Madrid, which is great!) and they were all good in terms of the food. However I have to say that Level Bistro was by far and away the best. Everything was just so good; the restaurant itself was modern with simple but elegant decor, the service was exemplary and the quality of the food outstanding, both in terms of taste and presentation. While not the cheapest place to eat, the price was very reasonable given the quality of the experience; I have paid a lot more for less good meals! We all really enjoyed our meal and would certainly recommend Level Bistro to anyone who wants a great vegan/vegetarian meal, superbly presented. Thank you! Next time I am Madrid I will certainly visit again.",28-Feb-20
Level_Veggie_Bistro,5,Positive,"This was hands down the best meal I had whilst being in Madrid!! I’m veggie not vegan but really enjoyed everything I had. Everything was delicious and I ended up having 3 courses that I hadn’t planned on! The staff were helpful and I was able to have a half portion for my starter which was just as well as I wouldn’t have managed a full size one and then a main! The food is wholesome, filling and seriously delicious, I loved the Buddha bowl! The restaurant itself requires reservation and is directly opposite Retiro Park. It is very well worth visiting if in Madrid.",22-Feb-20
Level_Veggie_Bistro,5,Positive,"Perfection!!! The food is out of this world! The flavors are perfect!  The restaurant is an experience and it starts with the amazing employees whom are warm, welcoming and very attentive.  Went for my birthday and two months later took my partner for his.  Vegan and non vegan will love!",5-Feb-20
Level_Veggie_Bistro,5,Positive,"My wife is a vegetarian so I was pressured to go to this restaurant . I ordered lasagna and water informed me it was a cold dish, so tried to find something else but here was nothing on menu that looked good --so for first time ever, I turned the ordering over to waiter who ordered (I think) the sampler meal whee the food just kept coming, various courses -all of which were great. he service was outstanding, the decor could use some upgrade, (too drab), I was truly surprised by how good the food was- best meal I have had in a long time ",2-Feb-20
Level_Veggie_Bistro,5,Positive,"A wonderful dining experience. The staff were really knowledgable and friendly and the food was excellent. We are not vegans and were amazed by how tasty the food was. We had a choice of starters chosen by the restaurant and then the burger and the baked mushroom, which was our favourite dish. ",1-Feb-20
Level_Veggie_Bistro,5,Positive,This restaurant is a must visit when in Madrid. We were blown away by the food and the engaging and friendly staff. Speaking very little Spanish they made the effort to try and explain the dishes to us and their enthusiasm for the food was evident.  Every dish we had came beautifully presented and was bursting with flavour. I would highly recommend the vegetable rolls!,13-Dec-19
Sto_Globo_Sushi_Room,5,Positive,A fabulous experience .Had the tasting menu-Every dish was tasty and well presented.Asked for the langoustine gyoza instead of the duck-was changed with no problem.The cheese cake is one of a kind!!! To be repeated.,2-Mar-20
Sto_Globo_Sushi_Room,5,Positive,"An absolutely superb meal. Tasting menu selected at €25 per person. Magnificent value for money. All good and cooked to perfection and the tastes were out of this world.  Started with Edamames and these beans were delicious. Next was Gyozos with Duck and Ginger with Kimchi sauce. Magic! Next, a Bao with red tuna, teriyaki, marinated onion and quail’s egg. Gets better and better!  A nigiuri of white fish with ajo negra. Further nigiuri of salmon with melted limón. Rolls of Langoustines with Avocados. A postre of cheesecake. Bottle of Somontano Gewurtztraminer and Aqua sin Gas. €74 for 2. In Madrid!!! Strongly recommended!!!!!  ",26-Feb-20
Sto_Globo_Sushi_Room,5,Positive,Amazing food. So far the most enjoyable meal we had in Madrid. I recommend the  set menu. Everything was great. Don’t miss the cheese cake for dessert,31-Jan-20
Sto_Globo_Sushi_Room,5,Positive,I'm not really a big fan of Japanese food and coming from Sweden we have enough fish dishes without the need to eat more fish. This however is an excellent Sushi bar and all the food is presented in such a way that its hard not to be tempted.,12-Oct-19
Sto_Globo_Sushi_Room,5,Positive,It was a fantastic experience!! Very small place nicely decorated. Service was perfect and the food amazing. Have eaten in many of the top Japanese restaurants around the world and this was on par. Run by young brothers I have no doubt of their future success.,6-Oct-19
